source,Source (required by the prompt),Source of the field,value,valid?,Note,,
Llama-3.2  - 6,,?,600 3\ $a California State.,N,"<marc:datafield ind1=""3"" ind2="" "" tag=""600"">
    <marc:subfield code=""a"">California State.</marc:subfield>
  </marc:datafield>
",,
Llama-3.2  - 6,,LCSH,650 60$a Electronic government publications -- California,N,"<marc:datafield ind1=""6"" ind2=""0"" tag=""650"">
    <marc:subfield code""a"">Electronic government publications -- California</marc:subfield>
  </marc:datafield>
",,
Mistralai - 2,,LC subject headings for children's literature,650 1 United States. Department of Commerce. United States Copyright Office,N,not a valid childrens heading,,
Mistralai - 3,,LCSH,650 0 Government publications - United States. (Placeholder),N,"The first part is correct, but United states should be in a subfield z and the placeholder is wrong",,
Mistralai - 3,,LC subject headings for children's literature,"650 1 California. State Rail Assistance (Placeholder)
",N,not a valid childrens heading,,
Mistralai - 4,,LC subject headings for children's literature,650 01 State Rail Assistance.,N,not a valid childrens heading,,
Mistralai - 4,,Medical Subject Headings,650 02 California State Transportation Agency.,N,not a valid mesh heading or any heading,,
Mistralai - 4,,National Agricultural Library subject authority file,650 03 Allocation Request.,N,not a valid nal heading,,
Mistralai - 4,,Source not specified,650 04 State budgets - California.,N,not a valid heading,,
Mistralai - 4,,Canadian Subject Headings,650 05 Capital projects - California,N,"Wrong as a canadian heading, wrong as an lcsh too",,
Mistralai - 4,,Répertoire de vedettes-matière,650 06 Operational projects - California,N,"Wrong as a french heading, wrong as an LCSH too",,
Mistralai - 5,FAST,Source not specified,651 4 Transportation planning.,N,"651 are for geographic locations, not a valid lcsh either (Transportation ǂx Planning is the correct form)",,
Mistralai - 5,FAST,Répertoire de vedettes-matière,651 6 Transportation projects.,no,Not a FAST heading,,
Mistralai - 5,FAST,Source specified in subfield $2,651 7 Rail transportation.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 California.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 9 Allocation requests.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Allocation (Finance),no,Not a FAST heading,,
Mistralai - 5,FAST,Source not specified,651 4 Transit service information.,N,"651 are for geographic locations, not a valid lcsh either",,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Transit services,no,Not a FAST heading,,
Mistralai - 5,FAST,Répertoire de vedettes-matière,651 6 Capital projects.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Capital expenditures.,no,Not a FAST heading,,
Mistralai - 5,FAST,Source not specified,655 4 Construction (Building),N,"not a valid subject, 655 is for genre but the heading generated is not that",,
Mistralai - 5,FAST,Répertoire de vedettes-matière,651 6 Operational projects.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Operations (General),no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 California State Transportation Agency.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 California State Transportation Agency.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Lead Agency Information.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Lead Agencies.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Allocation Request Prepared by.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Responsibility (Personal),no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Authorized Agent.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Authorized agents.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Legislative District Numbers.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Legislative districts.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Project Information.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Project proposals.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 General Area (City/County).,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Geography.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Specific Area (Lat-Long or Address).,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Geographic coordinates.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Addresses (Locations).,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Description (Short).,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Project descriptions.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Type.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Project types.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Start date (anticipated).,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Dates.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 End date (anticipated).,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Dates.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Project Life.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Project life.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Capital.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Capital expenditures.,no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Operations.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Operations (General),no,Not a FAST heading,,
Mistralai - 5,FAST,?,651 8 Funding Plan.,no,Not a FAST heading,,
Mistralai - 5,FAST,Medical Subject Headings,655 2 Funding plans.,no,Not a FAST heading,,
Mixtral - 4,,LCSH,650  0$a Department of Energy$x Annual reports.,N,not a valid lcsh heading annual reports not a valid subdivision,,
Mixtral - 4,,Source specified in subfield ǂ2,650  7$a United States$z Energy policy$x Reports.,N,united states is a geograph heading should be in a 651 energy policy is not a valid subdivision and shouldn't be in a $z if it was,,
Mixtral - 5,FAST,FAST,"650 0 $a ""United States"" $x ""Department of Energy"" $z ""Annual reports"" URI: http://id.loc.gov/authorities/subjects/sh85039473",N,uri goes to unrelated heading. Also the generated 650 is completely wrong,,
Mixtral - 5,FAST,FAST,"650 0 $a ""Energy policy"" $x ""United States"" URI: http://id.loc.gov/authorities/subjects/sh2008108610",N,"uri goes to unrelated heading, first heading is valid, United states should be in subfield Z",,
Mixtral - 5,FAST,FAST,"650 0 $a ""Research programs"" $x ""Energy"" URI: http://id.loc.gov/authorities/subjects/sh85074329",N,"uri goes to unrelated heading,  neither heading valid",,
Mixtral - 5,FAST,FAST,"650 0 $a ""Budget"" $x ""Government finance"" $x ""United States"" URI: http://id.loc.gov/authorities/subjects/sh85071544",N,"uri goes to unrelated heading - first headomg vaild, second one isnt, United states should be in subfield Z",,
Mixtral - 6,,LCSH,650 60 Electronic government publications -- California,N,"first heading is out of date, should be electronic government information, geographic subdivision should be in a subfield",,
Mixtral - 6,,?,650   $a Transportation -- Government policy -- California.,N,the appropriate lcsh is Transportation and state and it doens't have approrpriate subfields,,
Claude 3.5 Sonnet -2,,LCSH,610 10 $aUnited States$xCopyright.,N,,,
DeepSeek - 2,,LCSH,610 10 $aUnited States. $tUnited States Code. $nTitle 17.,N,clearly just tried to make a subject heading out of words in the title,,
"DeepSeek - 3
DeepSeek - 4
",,LCSH,610 10 $aCalifornia. $bState Transportation Agency $vRules and practice.,Y,,,
DeepSeek - 6,,LCSH,"610 10 $aCalifornia. $bState Transportation Agency $vRules and practice. $1<a href=""https://id.loc.gov/authorities/names/n2013180313"">https://id.loc.gov/authorities/names/n2013180313</a>",,,,
"DeepSeek - 3
DeepSeek - 4",,LCSH,650 0 $aRailroads $xFinance $xLaw and legislation $zCalifornia.,Y,,,
DeepSeek - 6,,LCSH,"650  0 $aRailroads $xFinance $xLaw and legislation $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85110941"">https://id.loc.gov/authorities/subjects/sh85110941</a>",N,URI doesn't go to anything,,
"DeepSeek - 3
DeepSeek - 4",,LCSH,650 0 $aTransportation $xFinance $xLaw and legislation $zCalifornia.,Y,,,
DeepSeek - 6,,LCSH,"650 0 $aTransportation $xFinance $xLaw and legislation $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85137047"">https://id.loc.gov/authorities/subjects/sh85137047</a>",N,URI goes to a different heading,,
"DeepSeek - 3
DeepSeek - 4",,LCSH,650 0 $aPublic utilities $xFinance $xLaw and legislation $zCalifornia.,Y,,,
DeepSeek - 6,,LCSH,"650  0 $aPublic utilities $xFinance $xLaw and legislation $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85108846"">https://id.loc.gov/authorities/subjects/sh85108846</a>",N,URI doesn't go to anything,,
"DeepSeek - 3
DeepSeek - 4",,LCSH,650 0 $aTransportation and state $zCalifornia.,Y,,,
DeepSeek - 6,,LCSH,"650  0 $aTransportation and state $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85137047"">https://id.loc.gov/authorities/subjects/sh85137047</a>",N,The generated heading is right but the URI goes to something else,,
DeepSeek - 4,,LCSH,610 10 $aCalifornia. $bDepartment of Transportation $vRules and practice.,Y,,,
DeepSeek - 6,,LCSH,"610 10 $aCalifornia. $bDepartment of Transportation $vRules and practice. $1<a href=""https://id.loc.gov/authorities/names/n79059517"">https://id.loc.gov/authorities/names/n79059517</a>",N,Link doesn't go anywhere,,
DeepSeek - 4,,LCSH,650 0 $aCommuter railroads $xFinance $zCalifornia.,N,the official valid lcsh is Railroads ǂx Commuting traffic,,
DeepSeek - 6,,LCSH,"650  0 $aCommuter railroads $xFinance $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85029234"">https://id.loc.gov/authorities/subjects/sh85029234</a>",N,the official valid lcsh is Railroads ǂx Commuting traffic and the uri goes to an unrelated heading,,
DeepSeek - 4,,LCSH,650 0 $aIntercity railroads $xFinance $zCalifornia.,N,Intercity railroads doesn't exist as an lcsh,,
DeepSeek - 6,,LCSH,"650 0 $aIntercity railroads $xFinance $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85067234"">https://id.loc.gov/authorities/subjects/sh85067234</a>",N,Intercity railroads doesn't exist as an lcsh and the uri doesn't go to anything,,
DeepSeek - 4,,LCSH,650 0 $aRailroads $xGovernment policy $zCalifornia.,N,This is an alternate term but the official LCSH for this is Railroads and state also the link doesn't go to anything,,
DeepSeek - 6,,LCSH,"650 0 $aRailroads $xGovernment policy $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85110941"">https://id.loc.gov/authorities/subjects/sh85110941</a>",N,This is an alternate term but the official LCSH for this is Railroads and state,,
DeepSeek - 4,,LCSH,650 0 $aTransportation planning $zCalifornia.,N,The appropriate lcsh is Transportation ǂx Planning ǂz California,,
DeepSeek - 6,,LCSH,"650  0 $aTransportation planning $zCalifornia. $1<a href=""https://id.loc.gov/authorities/subjects/sh85137047"">https://id.loc.gov/authorities/subjects/sh85137047</a>",N,The appropriate lcsh is Transportation ǂx Planning ǂz California link goes to a different heading and it generated 2 links for some reason,,
DeepSeek - 4,FAST,LCSH,610 10 $aCalifornia. $bState Transportation Agency $vRules and practice. $1https://id.loc.gov/authorities/names/n2013180313,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,610 10 $aCalifornia. $bDepartment of Transportation $vRules and practice. $1https://id.loc.gov/authorities/names/n79059517,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aRailroads $xFinance $xLaw and legislation $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85110941,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aTransportation $xFinance $xLaw and legislation $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85137047,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aPublic utilities $xFinance $xLaw and legislation $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85108846,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aTransportation and state $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85137047,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aCommuter railroads $xFinance $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85029234,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aIntercity railroads $xFinance $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85067234,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aRailroads $xGovernment policy $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85110941,no,Not a FAST heading,,
DeepSeek - 5,FAST,LCSH,650 0 $aTransportation planning $zCalifornia. $1https://id.loc.gov/authorities/subjects/sh85137047,no,Not a FAST heading,,
DeepSeek - 5,FAST,Source is specified in subfield ǂ2,655 7 $aElectronic books. $2lcgft $1https://id.loc.gov/authorities/genreForms/gf2014026118,no,Not a FAST heading,,
